,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Giannis Antetokounmpo,PF,MIL,41.0,23.5,63,31.6,63,30.5,11.7,5.6,0.8,0.8,1.3,11.0,20.0,55.2,0.7,171,0.275,7.8,772,0.645,2.2,9.5,3.9,3.1,5.3,28,63,2024,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,84,242,9,1,Mil,F,28.3,32.1,16.2,1108,0.596,0.571,31.1,11.8,5.7,0.8,0.8,3.9,42.9,36.8,48.6,15.9,116.8,100.6
1,Jrue Holiday,PG,MIL,29.6,17.6,67,32.1,65,19.0,5.0,7.3,1.2,0.4,0.7,7.2,15.0,47.8,2.3,411,0.384,2.3,177,0.859,1.1,3.8,2.9,1.7,6.9,32,67,2183,19.2,0.586,0.402,0.173,3.9,12.0,8.1,34.4,1.7,0.9,15.2,25.0,3.9,2.8,6.7,0.148,3.0,0.1,3.1,2.8,75,205,13,2,Mil,G,32.8,32.6,16.1,612,0.542,0.556,19.3,5.1,7.4,1.2,0.4,2.9,24.3,26.6,31.7,11.0,117.7,109.5
2,Brook Lopez,C,MIL,24.7,14.2,78,30.0,78,15.8,6.5,1.2,0.5,2.4,0.3,6.1,11.4,53.3,1.7,364,0.374,1.9,190,0.784,1.9,4.6,1.4,2.6,5.0,34,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5,84,282,14,3,Mil,C,35.0,30.4,10.6,535,0.637,0.606,15.9,6.7,1.3,0.5,2.5,1.4,22.5,17.2,23.8,6.8,122.4,106.2
3,Jevon Carter,PG,MIL,23.9,12.7,81,26.0,22,14.1,9.6,1.5,0.4,0.2,0.5,5.7,11.5,49.6,1.4,336,0.423,1.4,38,0.816,2.2,7.4,1.2,1.6,0.3,27,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.8,1.2,-0.6,0.6,73,200,4,7,Mil,G,27.6,22.4,12.1,229,0.424,0.549,8.0,2.5,2.4,0.8,0.4,1.0,10.5,10.5,13.0,6.5,113.3,106.6
4,Grayson Allen,SG,MIL,20.5,11.8,72,24.3,19,14.8,4.2,5.0,0.8,0.1,0.6,5.2,12.1,43.0,1.6,366,0.399,2.8,126,0.905,0.9,3.3,2.2,2.1,4.0,27,72,1972,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,76,198,4,6,Mil,G,27.5,27.4,11.4,191,0.518,0.571,10.4,3.3,2.3,0.9,0.2,1.0,13.7,12.7,16.0,6.3,123.5,110.0
5,Pat Connaughton,SG,MIL,15.4,8.2,61,27.0,70,10.3,3.2,2.3,0.9,0.2,0.3,3.4,7.6,44.1,2.0,322,0.339,1.6,41,0.659,0.8,2.4,1.0,1.6,3.1,30,61,1443,10.0,0.531,0.765,0.097,3.8,16.2,10.2,6.9,1.2,0.6,7.0,13.8,0.7,1.8,2.5,0.085,-1.3,0.3,-1.1,0.3,77,209,7,8,Mil,G,30.3,23.7,7.3,99,0.566,0.521,7.6,4.6,1.3,0.6,0.2,0.5,12.3,8.9,13.5,6.0,112.4,109.6
6,Khris Middleton,SF,MIL,12.7,6.6,33,22.5,39,8.1,2.5,2.4,0.8,0.4,0.2,3.0,7.0,42.5,1.8,162,0.315,0.4,102,0.902,0.4,2.1,1.0,1.9,0.9,31,33,801,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.117,1.0,-0.3,0.8,0.6,79,222,10,4,Mil,F,31.7,24.3,14.9,244,0.516,0.499,15.1,4.2,4.9,0.7,0.2,2.2,19.3,20.0,24.2,11.1,113.2,106.1
7,Wesley Matthews,SG,MIL,12.7,4.8,52,18.9,3,6.9,3.8,1.5,0.7,0.3,0.1,2.5,5.2,47.9,1.3,124,0.315,0.6,28,0.857,0.9,2.9,0.4,1.5,0.2,36,52,820,7.0,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,0.3,0.9,1.2,0.073,-3.5,0.8,-2.7,-0.1,76,220,13,19,Mil,G,36.5,15.7,10.1,36,0.528,0.484,3.4,2.2,0.7,0.4,0.3,0.3,5.6,4.1,6.3,4.4,113.1,107.2
8,Goran Dragic,PG,MIL,12.5,6.5,7,22.7,0,6.9,2.8,3.3,0.7,0.1,0.1,2.3,5.4,43.5,1.8,17,0.412,0.4,4,1.0,0.3,2.5,1.2,1.6,1.8,36,7,83,11.4,0.516,0.472,0.111,3.9,10.9,7.5,20.2,1.2,0.0,15.6,22.7,0.0,0.1,0.1,0.037,-2.3,-2.9,-5.2,-0.1,75,190,14,13,Mil,G,36.9,11.8,16.1,19,0.368,0.486,5.6,1.7,1.7,0.3,0.0,1.0,7.3,7.3,9.0,8.6,103.7,113.7
9,Bobby Portis,PF,MIL,12.1,6.5,70,23.3,33,7.6,4.6,1.2,0.6,0.2,0.2,2.7,6.8,39.5,1.8,257,0.37,0.4,125,0.768,0.8,3.8,0.5,1.1,2.4,27,70,1818,17.8,0.575,0.32,0.156,9.2,28.6,19.3,8.7,0.8,0.7,8.6,21.7,2.5,2.8,5.3,0.139,1.2,-0.6,0.7,1.2,82,250,7,5,Mil,F,28.2,26.0,9.2,546,0.555,0.555,14.1,9.6,1.5,0.4,0.2,1.2,23.7,15.6,25.2,9.0,117.3,105.2
