,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Caris LeVert,SG,CLE,31.9,17.1,74,35.8,68,28.3,4.2,4.4,1.5,0.4,0.8,10.0,20.6,48.4,3.6,324,0.392,4.7,180,0.722,0.9,3.3,2.6,2.5,5.0,28,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,78,205,6,5,Cle,G,28.6,30.3,13.5,418,0.462,0.517,12.1,3.8,3.9,1.0,0.3,1.6,15.9,16.0,19.8,7.4,111.6,106.7
1,Darius Garland,PG,CLE,29.2,14.9,69,35.5,69,21.6,2.7,7.8,1.3,0.1,0.8,7.6,16.4,46.2,2.4,412,0.41,4.0,322,0.863,0.4,2.3,2.9,2.1,6.4,23,69,2447,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,73,192,3,2,Cle,G,23.2,35.5,15.0,717,0.492,0.537,21.6,2.7,7.8,1.2,0.1,2.9,24.3,29.4,32.1,8.7,117.7,109.4
2,Evan Mobley,PF,CLE,28.4,15.7,79,32.6,68,14.3,9.8,1.7,0.8,1.2,0.6,5.9,9.2,64.4,0.0,102,0.216,2.4,303,0.673,3.2,6.5,1.4,2.3,5.2,21,79,2715,17.9,0.589,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,84,215,1,3,Cle,C,21.8,34.4,13.3,847,0.594,0.565,16.2,9.0,2.8,0.8,1.5,1.8,25.2,19.0,28.0,8.6,117.9,104.0
3,Jarrett Allen,C,CLE,27.3,16.1,68,34.4,79,16.2,9.0,2.8,0.8,1.5,0.8,6.6,12.0,55.3,0.3,10,0.1,2.6,221,0.733,2.4,6.6,1.8,2.8,4.3,24,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.5,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,83,243,5,4,Cle,C,25.0,32.6,12.9,616,0.653,0.645,14.3,9.8,1.7,0.8,1.2,1.4,24.0,15.9,25.7,7.6,133.1,105.0
4,Donovan Mitchell,SG,CLE,17.1,9.7,68,30.3,30,12.1,3.8,3.9,1.0,0.3,0.5,4.3,10.0,43.1,1.7,635,0.386,1.8,368,0.867,0.7,3.1,1.6,2.3,2.5,26,68,2432,22.9,0.614,0.453,0.262,3.1,10.9,7.0,21.4,2.0,1.0,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5.0,73,215,5,1,Cle,G,26.6,35.8,11.4,767,0.566,0.572,28.3,4.3,4.4,1.5,0.4,2.6,32.5,32.7,36.9,9.1,118.7,107.2
5,Cedi Osman,SF,CLE,10.3,5.2,77,20.1,2,8.7,2.3,1.5,0.4,0.2,0.3,3.1,6.9,45.2,1.5,312,0.372,1.0,108,0.694,0.3,2.0,0.7,1.6,2.9,27,77,1548,12.0,0.58,0.589,0.204,1.9,11.5,6.7,10.6,1.1,0.7,8.3,18.2,1.4,1.9,3.3,0.103,-0.8,0.2,-0.7,0.5,79,230,5,6,Cle,F,28.0,20.1,8.9,217,0.567,0.561,8.7,2.3,1.5,0.5,0.1,0.7,11.0,10.2,12.5,6.2,115.5,107.1
6,Isaac Okoro,SF,CLE,10.0,6.0,76,21.7,46,6.4,2.4,1.1,0.7,0.4,0.2,2.3,4.7,49.4,0.8,171,0.363,1.0,103,0.757,0.7,1.8,0.6,2.1,1.7,22,76,1652,10.7,0.614,0.483,0.291,3.7,9.6,6.7,7.0,1.7,1.7,9.5,11.9,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7,77,225,2,9,Cle,F-G,22.2,21.7,10.6,183,0.617,0.582,6.4,2.5,1.1,0.7,0.4,0.6,8.9,7.6,10.1,4.8,123.7,104.9
7,Ricky Rubio,PG,CLE,9.4,4.4,33,17.2,2,5.2,2.1,3.5,0.8,0.2,0.3,1.8,5.4,34.5,0.6,82,0.256,0.8,35,0.8,0.3,1.8,0.9,1.5,1.4,32,33,566,10.4,0.442,0.461,0.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,-0.2,0.9,0.7,0.062,-3.8,1.1,-2.8,-0.1,74,190,11,11,Cle,G,32.5,17.2,14.8,96,0.417,0.402,5.2,2.1,3.5,0.8,0.2,0.9,7.3,8.7,10.8,7.8,103.1,104.0
8,Dean Wade,PF,CLE,9.0,4.2,44,20.3,13,4.7,3.4,0.8,0.6,0.5,0.2,1.7,4.0,41.2,1.0,127,0.354,0.3,23,0.652,0.5,3.0,0.4,2.0,2.5,26,44,891,8.5,0.55,0.718,0.13,2.6,17.2,9.9,5.4,1.6,2.2,8.3,10.2,0.4,1.4,1.8,0.097,-2.9,2.1,-0.7,0.3,81,228,3,13,Cle,F-C,26.4,20.3,8.7,50,0.56,0.54,4.7,3.4,0.8,0.6,0.5,0.4,8.1,5.5,8.9,4.6,113.4,102.7
9,Lamar Stevens,PF,CLE,7.9,4.4,62,18.1,25,5.3,3.4,0.5,0.4,0.3,0.5,2.1,4.6,44.8,0.5,95,0.316,0.6,57,0.702,0.8,2.6,0.4,1.3,0.1,25,62,1120,9.5,0.524,0.33,0.198,5.0,16.7,10.9,4.0,1.2,1.6,7.9,13.6,0.3,1.6,1.9,0.08,-3.0,0.2,-2.8,-0.2,78,230,2,10,Cle,F,25.8,18.1,8.6,193,0.513,0.5,5.3,3.4,0.5,0.4,0.3,0.4,8.6,5.8,9.2,4.6,109.4,106.7
10,Danny Green,SG,CLE,7.7,0.0,8,11.7,0,5.0,1.8,1.0,0.8,0.0,0.0,1.8,4.4,40.9,1.0,29,0.448,0.4,1,1.0,0.0,1.8,0.0,0.6,-1.0,35,8,95,15.8,0.676,0.763,0.026,2.5,9.9,6.2,6.4,2.6,2.9,15.4,21.4,0.1,0.2,0.2,0.114,0.5,0.7,1.2,0.1,78,215,13,8,Cle,G,35.8,11.9,15.4,9,0.667,0.671,6.5,1.3,0.5,0.6,0.4,0.9,7.8,7.0,8.3,5.4,111.6,102.6
11,Sam Merrill,SG,CLE,6.0,4.7,5,12.6,0,5.5,1.3,0.5,0.5,0.3,0.1,2.0,4.5,44.9,1.5,18,0.278,0.1,2,1.0,0.3,1.0,0.9,1.5,-1.5,26,5,59,15.5,0.546,0.818,0.091,0.0,18.0,9.0,12.0,3.4,0.0,0.0,17.5,0.1,0.1,0.2,0.16,-1.2,2.5,1.2,0.0,76,205,2,12,Cle,G,26.9,11.7,0.0,4,1.0,0.523,5.0,1.8,1.0,0.8,0.0,0.0,6.8,6.0,7.8,7.1,121.5,105.7
12,Robin Lopez,C,CLE,5.7,4.1,37,10.5,1,3.3,1.0,1.6,0.4,0.1,0.1,1.2,2.3,51.8,0.3,4,0.5,0.6,18,0.778,0.2,0.8,0.5,1.0,0.2,34,37,299,11.6,0.675,0.053,0.24,9.1,11.0,10.0,9.1,0.3,2.5,23.2,16.2,0.2,0.3,0.6,0.094,-3.4,0.3,-3.0,-0.1,84,281,14,15,Cle,C,35.0,8.1,24.9,71,0.648,0.653,3.0,1.4,0.5,0.1,0.2,0.7,4.4,3.5,4.9,6.3,114.9,100.7
13,Isaiah Mobley,PF,CLE,4.3,4.5,12,7.0,0,2.6,1.7,0.3,0.3,0.3,0.2,1.0,2.3,42.9,0.3,8,0.375,0.3,4,1.0,0.3,1.3,0.1,0.7,2.6,23,13,84,14.1,0.521,0.286,0.143,5.6,22.4,14.0,5.0,2.4,3.3,3.3,16.3,0.1,0.2,0.2,0.135,-2.5,1.1,-1.4,0.0,82,240,0,17,Cle,F,23.5,7.0,3.4,20,0.45,0.482,2.6,1.7,0.3,0.3,0.3,0.1,4.3,2.8,4.5,6.3,114.9,100.9
14,Raul Neto,PG,CLE,4.1,4.3,48,8.1,2,3.0,1.4,0.5,0.1,0.2,0.2,1.3,2.0,64.0,0.1,42,0.286,0.4,34,0.912,0.6,0.8,0.7,1.2,-1.6,30,48,505,12.6,0.628,0.382,0.309,2.3,8.4,5.4,21.0,1.7,0.7,16.1,13.1,0.8,0.6,1.5,0.142,-1.7,1.5,-0.2,0.2,73,180,7,14,Cle,G,30.9,10.5,17.2,68,0.662,0.573,3.3,1.0,1.6,0.4,0.1,0.5,4.2,4.9,5.9,6.6,127.4,105.1
