,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Jayson Tatum,PF,BOS,38.9,20.3,74,36.9,74,30.1,8.8,4.6,1.1,0.7,0.8,9.8,21.1,46.6,3.2,686,0.35,7.2,622,0.854,1.1,7.7,2.9,2.2,6.4,24,74,2732,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,80,210,5,1,Bos,F-G,25.1,36.9,12.0,873,0.558,0.543,30.1,8.8,4.6,1.1,0.7,2.9,38.8,34.7,43.5,11.6,118.6,106.7
1,Jaylen Brown,SF,BOS,29.7,15.4,67,35.9,67,26.6,6.9,3.5,1.1,0.4,1.1,10.1,20.6,49.1,2.4,487,0.335,3.9,344,0.765,1.2,5.7,2.9,2.6,3.8,26,67,2405,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.5,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,78,223,6,2,Bos,G-F,26.5,35.9,12.5,896,0.576,0.55,26.6,6.9,3.5,1.1,0.4,2.9,33.5,30.1,36.9,9.6,109.8,106.5
2,Al Horford,C,BOS,21.7,11.6,63,30.5,63,9.8,6.2,3.0,0.5,1.0,0.1,3.6,7.6,47.6,2.3,325,0.446,0.2,21,0.714,1.2,5.0,0.6,1.9,4.9,36,63,1922,13.8,0.631,0.678,0.044,4.2,17.7,11.1,13.2,0.8,2.7,7.0,11.9,3.6,2.7,6.3,0.157,1.6,1.7,3.3,2.5,81,240,15,6,Bos,C-F,36.9,30.5,7.2,154,0.539,0.627,9.8,6.2,3.0,0.5,1.0,0.6,16.0,12.8,19.0,7.4,133.4,108.2
3,Sam Hauser,PF,BOS,21.3,10.8,80,23.5,20,8.0,8.3,1.4,0.6,1.4,0.3,3.6,4.9,74.7,0.0,335,0.418,0.7,17,0.706,3.0,5.4,1.0,1.9,4.9,25,80,1290,12.7,0.634,0.846,0.043,3.0,14.1,8.6,7.6,1.1,1.4,6.9,14.7,1.8,1.6,3.4,0.128,0.6,0.4,1.0,1.0,80,215,1,9,Bos,F,25.3,16.1,7.0,61,0.656,0.631,6.4,2.6,0.9,0.4,0.3,0.4,9.0,7.3,9.8,6.1,123.9,107.2
4,Marcus Smart,PG,BOS,20.5,8.7,61,32.1,61,11.5,3.1,6.3,1.5,0.4,0.3,4.1,9.9,41.5,1.9,342,0.336,1.4,118,0.746,0.8,2.4,2.3,2.8,3.9,28,61,1957,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,0.092,-1.8,0.8,-1.0,0.5,75,220,8,5,Bos,G,29.1,32.1,19.2,260,0.519,0.511,11.5,3.1,6.3,1.5,0.4,2.3,14.7,17.8,20.9,7.6,110.7,105.8
5,Derrick White,SG,BOS,20.2,13.2,82,28.3,70,12.4,3.6,3.9,0.6,0.9,0.4,4.3,9.2,46.2,1.8,391,0.381,2.0,192,0.875,0.6,2.9,1.2,2.2,6.0,28,82,2319,15.4,0.604,0.516,0.253,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6,76,190,5,4,Bos,G,28.8,28.3,11.1,367,0.548,0.56,12.4,3.6,3.9,0.7,0.9,1.2,16.0,16.3,19.9,7.9,124.5,107.8
6,Malcolm Brogdon,PG,BOS,19.9,11.0,67,26.0,0,14.9,4.2,3.7,0.7,0.3,0.7,5.3,10.9,48.4,2.0,297,0.444,2.4,184,0.87,0.6,3.6,1.4,1.6,2.7,30,67,1744,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,77,229,6,3,Bos,G,30.3,26.0,11.8,435,0.51,0.574,14.9,4.2,3.7,0.7,0.3,1.5,19.1,18.6,22.8,9.4,122.1,108.4
7,Payton Pritchard,PG,BOS,13.1,6.5,48,25.9,23,8.1,4.6,1.7,0.5,0.4,0.3,2.7,6.0,45.4,1.5,154,0.364,1.2,16,0.75,1.1,3.5,1.0,2.4,2.6,25,48,643,10.3,0.536,0.629,0.065,4.3,10.5,7.5,14.0,1.1,0.1,13.7,19.9,-0.1,0.7,0.6,0.045,-2.1,-1.2,-3.4,-0.2,73,195,2,11,Bos,G,25.2,13.4,14.0,91,0.495,0.527,5.6,1.8,1.3,0.3,0.0,0.8,7.5,7.0,8.8,7.0,104.9,110.2
8,Grant Williams,PF,BOS,9.4,4.8,79,13.9,16,4.1,3.8,1.5,0.3,0.2,0.1,1.5,3.2,48.5,0.6,291,0.395,0.5,122,0.77,1.1,2.6,0.5,1.8,2.5,24,79,2045,10.3,0.605,0.611,0.256,4.7,14.5,9.7,8.4,1.0,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5,78,236,3,7,Bos,F,24.4,25.9,14.7,185,0.546,0.575,8.1,4.6,1.7,0.5,0.4,1.0,12.7,9.8,14.4,6.2,118.5,105.3
9,Blake Griffin,C,BOS,9.4,4.6,41,15.0,9,6.1,3.2,0.8,0.2,0.4,0.2,2.1,4.6,44.9,1.3,66,0.348,0.6,32,0.656,0.6,2.6,0.4,1.6,3.2,33,41,569,13.1,0.59,0.508,0.246,9.2,20.4,14.9,14.2,1.2,1.4,13.2,12.8,1.0,0.8,1.8,0.153,-1.4,1.5,0.1,0.3,81,250,12,12,Bos,F,34.1,13.9,14.4,64,0.625,0.573,4.1,3.8,1.5,0.3,0.2,0.5,7.9,5.6,9.4,8.2,128.0,99.4
10,Mike Muscala,C,BOS,9.4,5.5,20,16.1,8,6.4,2.6,0.9,0.4,0.3,0.1,2.3,5.0,45.5,1.8,65,0.385,0.2,13,0.692,0.4,2.1,0.4,1.2,2.7,31,20,323,11.6,0.623,0.73,0.146,4.8,18.0,11.5,5.0,0.6,1.3,8.7,14.0,0.4,0.4,0.8,0.116,-1.5,0.1,-1.4,0.1,82,240,9,10,Bos,F-C,31.8,16.2,9.2,24,0.708,0.612,5.9,3.4,0.6,0.2,0.3,0.5,9.3,6.5,9.9,5.7,121.7,105.8
