,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,John Konchar,SG,MEM,33.8,17.1,72,31.9,59,26.2,5.9,8.1,1.1,0.3,1.4,9.3,19.9,46.6,1.5,177,0.339,6.1,36,0.778,1.0,4.9,3.4,1.6,5.0,26,72,1494,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,77,210,3,13,Mem,G,27.0,20.7,10.4,143,0.545,0.525,5.1,4.3,1.4,1.1,0.3,0.5,9.3,6.4,10.7,6.1,116.8,105.6
1,Dillon Brooks,SF,MEM,27.2,14.6,73,31.8,58,21.5,5.0,4.4,1.0,0.4,1.3,7.8,16.2,47.9,2.9,439,0.326,3.1,154,0.779,0.7,4.3,2.2,2.6,6.1,27,73,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,79,225,5,4,Mem,G-F,27.2,30.3,9.5,552,0.451,0.468,14.3,3.3,2.6,0.9,0.2,1.4,17.7,16.9,20.3,6.6,102.3,105.5
2,Jaren Jackson Jr.,C,MEM,26.0,15.4,63,28.4,63,18.6,6.8,1.0,1.0,3.0,1.0,6.6,13.0,50.6,1.6,282,0.355,3.8,306,0.788,1.7,5.0,1.7,3.6,5.7,23,63,1787,21.6,0.613,0.343,0.372,6.4,18.8,12.6,5.0,1.7,9.6,10.1,24.7,2.8,3.8,6.6,0.177,0.7,2.0,2.8,2.2,83,242,4,3,Mem,F-C,23.6,28.4,11.5,540,0.585,0.567,18.6,6.8,1.0,1.0,3.0,1.7,25.4,19.6,26.3,7.1,117.8,100.3
3,Ja Morant,PG,MEM,24.1,11.0,61,27.0,42,8.6,11.6,2.3,0.9,1.1,0.3,3.7,6.3,59.7,0.0,300,0.307,1.1,497,0.748,5.1,6.5,1.9,2.3,5.8,23,61,1948,23.3,0.557,0.247,0.409,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,3.4,2.6,6.0,0.148,5.2,0.5,5.7,3.8,75,174,3,1,Mem,G,23.7,31.9,14.5,914,0.519,0.504,26.2,5.9,8.1,1.1,0.3,3.4,32.0,34.2,40.1,13.5,114.2,109.6
4,Tyus Jones,PG,MEM,18.0,10.5,80,24.2,22,10.3,2.5,5.2,1.0,0.1,0.2,3.9,8.9,43.8,1.5,326,0.371,1.0,100,0.8,0.4,2.2,0.9,0.4,1.2,26,80,1940,16.0,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7,72,196,7,6,Mem,G,26.9,24.2,9.4,384,0.495,0.523,10.3,2.5,5.2,1.0,0.1,0.9,12.8,15.5,18.0,8.5,122.1,114.8
5,Xavier Tillman,PF,MEM,16.7,8.6,61,19.5,8,10.0,5.5,1.3,0.6,0.7,0.3,4.1,6.2,65.6,0.0,15,0.267,1.8,89,0.551,1.6,3.9,1.0,2.3,-0.3,24,61,1180,17.3,0.621,0.049,0.291,10.9,16.7,13.8,10.9,2.3,2.2,11.3,13.7,2.3,1.9,4.2,0.171,0.3,1.7,1.9,1.2,80,245,2,10,Mem,F,24.2,19.3,12.6,291,0.632,0.621,7.0,5.0,1.6,1.0,0.5,0.7,12.1,8.6,13.6,7.9,129.0,105.2
6,Brandon Clarke,PF,MEM,14.8,7.7,56,30.3,73,14.3,3.3,2.6,0.9,0.2,0.5,5.4,13.6,39.6,2.0,6,0.167,1.6,137,0.723,0.6,2.7,1.4,3.3,2.8,26,56,1090,20.0,0.682,0.017,0.393,9.0,21.2,15.1,9.5,1.5,3.1,11.8,17.7,2.7,1.8,4.5,0.199,0.8,1.8,2.5,1.3,80,215,3,7,Mem,F,26.6,19.5,13.6,343,0.665,0.658,10.0,5.5,1.3,0.6,0.7,1.0,15.5,11.3,16.8,8.5,131.0,100.8
7,Luke Kennard,SG,MEM,14.6,9.0,24,19.3,29,7.0,5.0,1.6,1.0,0.5,0.6,3.1,5.0,61.4,0.1,137,0.54,0.8,19,0.947,2.0,3.0,0.7,1.6,0.0,26,24,590,16.0,0.758,0.801,0.111,1.6,11.8,6.7,12.1,1.0,0.2,8.2,13.8,1.7,0.6,2.3,0.189,3.0,-0.2,2.9,0.7,77,206,5,5,Mem,G,26.8,24.6,8.5,34,0.471,0.743,11.3,3.1,2.3,0.5,0.0,0.7,14.5,13.6,16.7,7.0,145.5,110.6
8,David Roddy,PF,MEM,13.9,6.1,70,21.8,20,9.0,4.8,1.3,0.6,0.6,0.3,3.2,6.8,47.0,1.2,212,0.307,1.4,65,0.631,1.1,3.7,0.8,1.9,1.2,21,70,1258,8.8,0.519,0.505,0.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,0.043,-3.2,-0.7,-3.9,-0.6,78,255,0,11,Mem,F,22.0,18.0,11.9,208,0.553,0.506,6.7,2.8,0.8,0.4,0.3,0.8,9.4,7.5,10.3,5.5,103.0,107.7
9,Desmond Bane,SG,MEM,12.9,7.9,58,22.3,14,9.3,2.7,1.5,0.5,0.1,0.2,3.2,6.5,49.2,2.3,407,0.408,0.6,205,0.883,0.3,2.4,0.8,1.4,3.6,24,58,1841,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,77,215,2,2,Mem,G,24.8,31.8,11.8,532,0.534,0.568,21.5,5.0,4.4,1.0,0.4,2.2,26.5,25.9,30.9,9.8,118.8,107.0
10,Santi Aldama,PF,MEM,11.4,5.3,77,20.7,23,5.1,4.3,1.4,1.1,0.3,0.2,1.9,4.4,43.1,0.8,266,0.353,0.4,144,0.75,0.9,3.4,0.5,1.6,2.9,22,77,1682,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,83,224,1,8,Mem,F-C,22.2,21.8,10.3,259,0.591,0.56,9.0,4.8,1.3,0.6,0.6,0.8,13.9,10.3,15.1,7.0,120.0,105.8
