,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Domantas Sabonis,C,SAC,41.4,23.6,79,34.6,79,19.1,12.3,7.3,0.8,0.5,0.8,7.3,11.9,61.4,0.4,83,0.373,4.1,438,0.742,3.2,9.1,2.9,3.5,2.7,26,79,2736,23.5,0.668,0.088,0.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,0.221,4.1,1.8,5.8,5.4,83,240,6,2,Sac,F-C,26.9,34.6,19.7,855,0.639,0.632,19.1,12.3,7.3,0.8,0.5,2.9,31.4,26.4,38.7,13.8,132.5,105.7
1,Keegan Murray,SF,SAC,30.1,16.3,80,33.4,73,25.0,4.2,6.1,1.1,0.3,0.7,9.3,18.2,51.3,1.6,501,0.411,4.7,81,0.765,0.5,3.6,2.5,2.4,2.4,22,80,2382,12.3,0.597,0.641,0.104,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,2.6,1.7,4.3,0.087,0.4,-1.0,-0.6,0.8,80,215,0,6,Sac,F,22.6,29.8,7.1,281,0.527,0.584,12.2,4.6,1.2,0.8,0.5,0.8,16.8,13.4,18.1,5.5,118.8,112.8
2,Harrison Barnes,PF,SAC,20.4,10.6,82,29.4,75,15.2,3.3,2.9,1.1,0.3,0.3,5.6,11.5,48.5,2.7,353,0.374,1.3,413,0.847,0.6,2.8,1.3,2.4,3.0,30,82,2662,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1.0,0.7,80,225,10,4,Sac,F,30.9,32.5,9.8,439,0.551,0.556,15.0,4.5,1.6,0.7,0.1,1.0,19.5,16.6,21.0,5.9,126.8,116.5
3,Kevin Huerter,SG,SAC,18.3,9.6,75,32.5,82,15.0,4.5,1.6,0.7,0.1,0.4,4.6,9.7,47.2,1.6,510,0.402,4.3,131,0.725,1.1,3.4,1.0,1.3,3.1,24,75,2203,15.2,0.617,0.589,0.151,2.2,10.8,6.5,14.1,1.7,1.0,9.5,19.9,3.3,1.7,4.9,0.107,1.4,-0.3,1.0,1.7,79,190,4,3,Sac,G-F,24.6,29.4,10.1,356,0.604,0.603,15.2,3.3,2.9,1.1,0.3,1.3,18.5,18.1,21.5,7.2,119.5,111.2
4,De'Aaron Fox,PG,SAC,17.8,10.0,73,29.8,78,12.2,4.6,1.2,0.8,0.5,0.5,4.4,9.8,45.3,2.6,366,0.325,0.8,440,0.78,1.1,3.5,0.8,2.0,1.2,25,73,2435,21.8,0.599,0.276,0.331,1.9,12.4,7.2,29.6,1.6,0.8,10.6,30.0,5.5,1.8,7.4,0.146,3.4,-0.9,2.5,2.7,75,185,5,1,Sac,G,25.3,33.4,12.0,965,0.583,0.557,25.0,4.2,6.1,1.1,0.3,2.5,29.2,31.1,35.3,10.3,119.2,112.2
5,Malik Monk,SG,SAC,16.4,9.3,77,22.3,0,13.5,2.6,3.9,0.6,0.3,0.7,4.6,10.3,44.8,1.9,398,0.359,2.4,207,0.889,0.4,2.2,1.9,1.6,0.9,24,77,1719,16.6,0.587,0.5,0.26,2.1,11.3,6.7,25.0,1.4,1.0,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1.0,75,200,5,5,Sac,G,25.2,22.3,15.5,398,0.538,0.538,13.5,2.6,3.9,0.6,0.3,1.9,16.2,17.4,20.0,9.2,113.9,112.6
6,Terence Davis,SG,SAC,10.7,6.7,64,16.9,0,7.6,4.0,0.9,0.4,0.4,0.3,2.5,5.5,45.9,1.2,243,0.366,1.4,43,0.791,0.9,3.1,0.9,1.3,1.4,25,64,841,12.9,0.563,0.668,0.118,2.7,16.1,9.4,11.1,2.4,1.2,12.2,22.2,0.0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,76,201,3,8,Sac,G,25.9,13.1,12.7,121,0.537,0.545,6.7,2.2,1.0,0.7,0.2,0.8,8.9,7.8,10.0,7.5,105.8,104.7
7,Davion Mitchell,PG,SAC,8.2,4.6,80,13.1,5,6.7,2.2,1.0,0.7,0.2,0.2,2.4,5.7,42.3,1.4,197,0.32,0.5,31,0.806,0.3,1.9,0.8,1.6,0.7,24,80,1447,9.4,0.545,0.494,0.078,1.3,7.0,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.05,-2.4,-0.4,-2.8,-0.3,74,205,1,9,Sac,G,24.6,18.1,13.4,202,0.584,0.533,5.6,1.3,2.3,0.6,0.2,0.8,6.9,7.9,9.3,5.7,111.3,112.9
8,Trey Lyles,PF,SAC,8.2,4.5,74,18.1,9,5.6,1.3,2.3,0.6,0.2,0.2,2.3,5.0,45.4,0.8,240,0.363,0.3,124,0.815,0.2,1.1,0.8,1.4,0.1,27,74,1247,14.2,0.607,0.588,0.304,6.3,21.1,13.7,7.0,1.0,2.2,12.2,18.1,1.4,1.2,2.6,0.098,0.0,-0.9,-1.0,0.3,81,234,7,7,Sac,F,27.4,16.9,13.5,168,0.595,0.565,7.6,4.1,0.9,0.4,0.4,0.9,11.6,8.5,12.5,7.2,117.3,110.3
9,Chimezie Metu,C,SAC,7.8,4.2,66,10.4,0,4.9,3.0,0.6,0.3,0.3,0.2,2.0,3.3,58.6,0.1,38,0.237,0.8,73,0.74,0.7,2.3,0.5,1.2,1.3,25,66,689,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,81,225,4,10,Sac,F-C,26.1,10.4,12.7,181,0.663,0.61,4.9,3.0,0.6,0.3,0.3,0.5,7.9,5.5,8.5,7.9,124.6,104.6
10,Richaun Holmes,C,SAC,4.8,4.2,42,8.3,1,3.1,1.9,0.2,0.1,0.3,0.2,1.3,2.1,61.8,0.1,8,0.625,0.4,19,0.789,0.7,1.2,0.3,1.2,-1.6,29,42,348,12.9,0.668,0.09,0.213,9.6,16.6,13.1,3.5,0.4,2.8,12.6,13.7,0.6,0.3,0.8,0.113,-2.0,-0.9,-2.9,-0.1,82,235,7,12,Sac,F,29.5,8.3,13.5,81,0.617,0.646,3.1,1.9,0.2,0.1,0.3,0.3,5.0,3.3,5.2,5.1,128.0,105.0
11,Kessler Edwards,SF,SAC,4.6,4.4,22,11.0,4,2.9,1.7,0.7,0.4,0.2,0.1,1.0,2.7,38.7,0.5,43,0.349,0.3,15,0.8,0.7,1.1,0.4,1.1,0.1,22,22,306,10.0,0.581,0.623,0.188,6.4,11.1,8.8,8.5,1.7,1.4,10.8,12.0,0.3,0.2,0.6,0.088,-2.3,-0.1,-2.4,0.0,80,215,1,11,Sac,F,22.7,13.9,11.3,27,0.593,0.55,4.0,2.1,1.0,0.5,0.2,0.4,6.2,5.0,7.1,5.8,123.1,107.1
12,Neemias Queta,C,SAC,4.6,4.0,5,5.7,0,2.4,2.2,0.2,0.0,0.4,0.0,1.2,1.8,66.7,0.0,0,0.0,0.0,2,0.0,1.0,1.2,0.2,1.4,-6.0,23,5,29,17.0,0.607,0.0,0.222,19.8,23.5,21.7,5.0,0.0,6.0,9.2,16.3,0.1,0.0,0.1,0.149,-2.6,-0.8,-3.4,0.0,84,245,1,13,Sac,C,23.7,5.7,10.0,9,0.667,0.667,2.4,2.2,0.2,0.0,0.4,0.2,4.6,2.6,4.8,7.1,128.8,93.3
13,Alex Len,C,SAC,4.3,4.5,26,6.2,2,1.7,2.3,0.5,0.2,0.4,0.0,0.6,1.2,53.3,0.0,2,0.0,0.4,16,0.688,0.9,1.4,0.6,1.1,0.7,29,26,161,12.8,0.58,0.067,0.533,17.2,25.4,21.3,9.3,1.2,6.0,30.2,14.1,0.1,0.2,0.3,0.085,-4.9,0.9,-4.0,-0.1,84,250,9,14,Sac,C,29.8,6.2,34.6,28,0.571,0.533,1.7,2.3,0.5,0.2,0.4,0.6,4.0,2.1,4.4,8.1,111.0,98.9
14,Matthew Dellavedova,PG,SAC,2.6,4.0,32,6.6,0,1.5,0.4,1.3,0.2,0.0,0.0,0.5,1.6,34.0,0.3,27,0.333,0.1,7,0.571,0.0,0.4,0.3,0.6,-1.6,32,32,213,6.7,0.443,0.54,0.14,0.5,6.4,3.5,23.4,1.6,0.0,15.9,12.7,0.0,0.1,0.1,0.021,-4.4,-0.8,-5.2,-0.2,75,200,8,15,Sac,G,32.6,6.7,16.6,23,0.348,0.43,1.5,0.4,1.3,0.2,0.0,0.3,1.9,2.8,3.2,5.5,104.4,111.1
