,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Michael Porter Jr.,SF,DEN,52.1,29.2,62,33.7,69,24.5,11.8,9.8,1.3,0.7,0.7,9.4,14.8,63.2,0.8,454,0.414,4.9,120,0.8,2.4,9.4,3.6,2.5,9.3,24,62,1798,16.8,0.621,0.556,0.147,4.2,17.2,10.9,5.3,1.0,1.4,7.3,22.7,2.6,1.8,4.3,0.116,2.0,-1.8,0.2,1.0,82,218,3,3,Den,F,24.8,29.0,7.7,363,0.579,0.602,17.4,5.5,1.0,0.6,0.5,1.1,22.9,18.5,24.0,6.3,118.3,110.8
1,Kentavious Caldwell-Pope,SG,DEN,27.1,15.6,76,32.8,65,20.0,3.9,6.2,1.0,0.2,0.5,7.3,16.0,45.4,2.6,319,0.423,2.8,125,0.824,0.7,3.2,2.2,1.6,4.6,29,76,2381,11.5,0.598,0.505,0.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,2.0,2.5,4.5,0.091,-1.6,0.6,-1.0,0.6,77,204,9,7,Den,G,30.1,31.3,12.0,313,0.502,0.569,10.8,2.8,2.4,1.5,0.5,1.1,13.6,13.2,16.0,5.3,116.7,112.0
2,Aaron Gordon,PF,DEN,24.1,12.9,68,30.3,68,16.3,6.6,3.0,0.8,0.8,0.9,6.3,11.2,56.4,0.9,173,0.347,2.8,312,0.609,2.4,4.1,1.4,1.9,7.7,27,68,2055,19.5,0.617,0.227,0.413,9.4,15.4,12.5,14.2,1.3,2.2,9.8,21.1,4.6,2.2,6.8,0.158,2.4,-0.3,2.1,2.1,80,235,8,4,Den,F,27.6,30.3,11.4,588,0.628,0.603,16.3,6.6,3.0,0.8,0.8,1.4,22.9,19.3,25.8,9.1,124.9,111.3
3,Nikola Jokic,C,DEN,22.1,12.0,69,29.0,62,17.4,5.5,1.0,0.6,0.5,0.4,6.4,13.2,48.7,3.0,149,0.383,1.5,415,0.822,1.0,4.5,1.1,1.9,6.8,27,69,2323,31.5,0.701,0.146,0.406,8.5,31.3,20.2,46.6,1.8,1.8,17.0,27.2,11.2,3.8,14.9,0.308,8.5,4.5,13.0,8.8,83,284,7,1,Den,C,28.1,33.7,19.5,873,0.675,0.66,24.5,11.8,9.8,1.3,0.7,3.6,36.3,34.3,46.2,16.8,134.7,105.3
4,Bruce Brown,SG,DEN,17.6,9.6,80,28.5,31,11.5,4.1,3.4,1.1,0.6,0.5,4.5,9.3,48.3,1.1,254,0.358,1.5,153,0.758,0.8,3.3,1.5,2.4,0.4,26,80,2280,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.8,76,202,4,6,Den,G-F,26.7,28.5,14.2,487,0.548,0.545,11.5,4.1,3.4,1.1,0.6,1.5,15.6,14.9,19.0,7.6,113.2,108.9
5,Jamal Murray,PG,DEN,16.3,8.6,65,31.3,76,10.8,2.8,2.4,1.5,0.5,0.1,3.8,8.3,46.2,1.8,432,0.398,1.4,216,0.833,0.5,2.3,1.1,1.9,6.5,25,65,2133,18.0,0.571,0.415,0.207,2.7,11.0,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,75,215,5,2,Den,G,26.1,32.8,12.2,609,0.494,0.537,20.0,4.0,6.2,1.0,0.2,2.2,23.9,26.1,30.1,9.7,116.1,113.7
6,Reggie Jackson,PG,DEN,15.8,5.7,16,18.3,26,9.8,5.7,0.5,0.3,0.5,0.6,3.9,6.3,62.3,0.4,68,0.279,1.6,12,0.833,1.5,4.3,0.6,1.7,-1.6,32,16,319,9.0,0.476,0.531,0.094,1.1,8.8,5.0,20.9,1.4,0.3,12.5,20.8,-0.2,0.2,0.1,0.008,-3.8,-1.3,-5.1,-0.3,74,208,11,8,Den,G,33.0,19.9,12.9,60,0.5,0.457,7.9,1.8,3.1,0.6,0.1,1.2,9.7,11.1,12.8,7.1,100.5,112.2
7,Zeke Nnaji,PF,DEN,12.1,5.1,53,24.4,40,10.2,2.1,3.4,0.7,0.1,0.2,3.9,9.4,41.1,1.4,65,0.262,1.0,62,0.645,0.4,1.8,1.7,1.7,-1.2,22,53,728,12.5,0.62,0.332,0.316,10.5,11.2,10.9,3.3,1.1,2.8,12.2,15.2,0.9,0.7,1.6,0.106,-2.7,-0.9,-3.7,-0.3,81,240,2,10,Den,F-C,22.2,13.7,13.6,131,0.71,0.605,5.2,2.6,0.3,0.3,0.4,0.6,7.8,5.6,8.2,4.7,120.8,103.5
8,DeAndre Jordan,C,DEN,10.7,4.7,39,15.0,8,5.1,5.2,0.9,0.3,0.6,0.2,2.3,2.9,76.5,0.0,1,1.0,0.6,48,0.458,1.3,3.8,1.2,1.8,-3.1,34,39,586,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1.0,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0.0,83,265,14,11,Den,C,34.7,15.0,29.4,114,0.763,0.77,5.1,5.2,0.9,0.3,0.6,1.2,10.3,6.0,11.2,7.7,117.1,101.9
9,Ish Smith,PG,DEN,9.0,4.9,43,19.5,4,7.8,2.6,1.2,0.3,0.3,0.3,2.9,5.9,48.8,0.5,12,0.167,1.6,4,0.5,0.7,1.9,0.8,1.8,-3.5,34,43,398,6.5,0.407,0.092,0.031,1.5,13.8,7.8,32.5,1.0,1.6,24.9,19.3,-0.8,0.4,-0.5,-0.056,-5.5,-1.1,-6.6,-0.5,72,175,12,16,Den,G,34.8,9.3,25.1,119,0.42,0.405,2.5,1.3,2.3,0.2,0.2,1.0,3.8,4.8,6.1,8.4,88.7,109.9
