,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Tyrese Maxey,SG,PHI,43.6,23.0,60,34.6,66,33.1,10.2,4.2,1.0,1.7,1.4,11.0,20.1,54.8,1.0,370,0.432,10.0,213,0.845,1.7,8.5,3.4,3.1,6.4,22,60,2016,17.0,0.605,0.404,0.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,0.128,1.9,-1.2,0.7,1.3,6-2,200,2,3,Phi,G,22.4,33.6,8.1,543,0.514,0.568,20.3,2.9,3.5,0.8,0.1,1.3,23.2,23.8,26.8,7.0,120.2,111.8
1,Tobias Harris,PF,PHI,40.0,20.3,74,36.8,58,21.0,6.1,10.7,1.2,0.5,0.9,6.4,14.5,44.0,2.8,324,0.389,5.4,129,0.876,0.7,5.4,3.4,1.9,4.8,30,74,2436,14.8,0.602,0.383,0.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,6-8,226,11,5,Phi,F,30.7,32.9,9.5,521,0.57,0.575,14.7,5.7,2.5,0.9,0.5,1.2,20.4,17.2,22.9,7.2,118.8,110.1
2,Shake Milton,SG,PHI,25.2,0.0,76,28.8,0,20.0,4.0,2.0,1.0,0.0,0.0,8.0,13.0,61.5,4.0,148,0.378,0.0,116,0.853,2.0,2.0,2.0,4.0,2.0,26,76,1567,12.7,0.575,0.294,0.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1.0,-0.9,-2.0,0.0,6-5,205,4,8,Phi,G-F,26.5,20.6,15.7,355,0.521,0.535,8.4,2.5,3.1,0.3,0.2,1.2,10.9,11.5,14.0,7.8,115.3,110.3
3,Joel Embiid,C,PHI,22.8,12.8,66,33.6,41,20.3,2.9,3.5,0.8,0.1,0.6,7.3,15.2,48.1,2.7,200,0.33,3.0,771,0.857,0.4,2.6,1.3,2.2,4.1,28,66,2284,31.4,0.655,0.151,0.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,0.259,6.8,2.3,9.2,6.4,7-0,280,6,1,Phi,C-F,29.1,34.6,14.5,1128,0.587,0.573,33.1,10.2,4.2,1.0,1.7,3.4,43.2,37.2,47.4,13.0,124.4,104.1
4,James Harden,PG,PHI,21.8,11.6,58,32.9,74,14.7,5.7,2.5,0.9,0.5,0.7,5.7,11.4,50.1,1.7,419,0.384,1.5,361,0.867,0.9,4.8,1.2,2.0,4.0,33,58,2135,21.6,0.607,0.496,0.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,0.188,5.1,0.3,5.4,4.0,6-5,220,13,2,Phi,G,33.6,36.8,18.8,424,0.495,0.536,21.0,6.1,10.7,1.2,0.5,3.4,27.1,31.6,37.7,12.1,123.3,110.7
5,Jalen McDaniels,SF,PHI,18.2,4.0,24,20.5,0,12.5,5.0,4.5,0.0,0.0,0.5,4.5,10.0,45.0,2.0,30,0.4,1.5,34,0.824,1.5,3.5,1.5,1.5,9.0,25,24,419,12.5,0.58,0.244,0.276,5.5,15.8,10.7,6.5,2.0,1.1,8.6,16.1,0.4,0.5,1.0,0.109,-2.5,-0.1,-2.6,-0.1,6-9,205,3,10,Phi,F-C,25.2,17.5,9.5,93,0.516,0.537,6.7,3.2,0.8,0.7,0.2,0.5,9.8,7.5,10.6,5.9,117.8,102.9
6,Danuel House Jr.,SF,PHI,17.0,8.7,56,27.9,58,10.1,4.1,2.6,1.6,0.5,0.3,3.6,8.5,42.5,2.0,110,0.336,0.9,60,0.75,0.9,3.2,1.3,2.5,1.3,29,56,807,9.4,0.6,0.558,0.305,1.3,12.2,6.9,7.5,0.9,1.0,10.4,13.8,0.6,0.7,1.3,0.075,-2.4,-0.5,-3.0,-0.2,6-6,220,6,12,Phi,F-G,29.8,14.4,11.6,87,0.644,0.566,4.8,1.7,0.8,0.3,0.2,0.5,6.5,5.6,7.3,5.2,115.3,109.2
7,Paul Reed,C,PHI,13.5,6.9,69,23.9,24,9.4,4.3,1.6,1.0,0.4,0.5,3.5,7.7,45.5,1.0,6,0.167,1.5,51,0.745,0.8,3.5,1.2,2.6,-1.9,23,69,755,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3.0,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4,6-9,210,2,13,Phi,F,23.8,10.9,17.7,203,0.606,0.596,4.2,3.8,0.4,0.7,0.7,0.7,8.0,4.6,8.3,6.8,124.3,95.2
8,Louis King,SG,PHI,11.9,6.3,1,20.6,11,8.4,2.5,3.1,0.3,0.2,0.5,3.2,6.6,47.9,0.7,8,0.5,1.3,1,0.0,0.5,2.0,1.3,1.6,1.9,23,1,29,21.3,0.744,0.615,0.077,8.3,8.0,8.1,12.2,1.7,0.0,13.0,24.0,0.1,0.0,0.1,0.157,3.3,-1.0,2.3,0.0,6-7,202,5,4,Phi,F,24.0,28.8,13.3,5,0.8,0.769,20.0,4.0,2.0,1.0,0.0,2.0,24.0,22.0,26.0,7.5,125.8,103.2
9,Montrezl Harrell,C,PHI,10.0,6.0,57,19.4,1,8.2,2.4,1.0,0.4,0.2,0.2,2.8,6.4,44.2,2.0,6,0.0,0.5,101,0.693,0.2,2.1,0.7,1.9,1.0,29,57,681,17.6,0.631,0.029,0.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,0.153,-0.9,-0.4,-1.3,0.1,6-7,240,7,11,Phi,F-C,29.2,11.9,14.3,203,0.616,0.598,5.6,2.8,0.6,0.3,0.4,0.6,8.4,6.2,9.0,7.1,125.1,105.1
