,Player,Pos,Team,PDK,CR,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,P3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,PM,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ht,Wt,Exp,RANK,TEAM,POS,AGE,MPG,TO%,2PA,2P%,eFG%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
0,Devin Booker,SG,PHX,36.7,18.3,53,35.6,47,29.1,6.6,5.0,0.7,1.4,0.5,10.3,18.4,56.0,2.0,316,0.351,6.5,358,0.855,0.4,6.3,3.3,2.1,5.5,26.0,53.0,1835.0,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,77,206,7,1,Pho,G,26.4,34.6,12.0,751,0.554,0.546,27.8,4.5,5.5,1.0,0.3,2.7,32.3,33.3,37.8,10.2,118.8,109.0
1,Damion Lee,SG,PHX,30.9,16.1,74,34.6,53,27.8,4.5,5.5,0.9,0.3,0.7,9.9,20.1,49.4,2.1,247,0.445,5.8,104,0.904,0.9,3.7,2.7,3.0,4.6,30.0,74.0,1506.0,10.7,0.607,0.546,0.23,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,77,210,5,10,Pho,G-F,30.5,20.4,14.7,205,0.439,0.564,8.2,3.1,1.3,0.4,0.1,1.1,11.2,9.5,12.6,6.3,114.3,109.9
2,Chris Paul,PG,PHX,29.0,16.0,59,32.0,59,13.9,4.3,8.9,1.5,0.4,0.1,5.0,11.3,44.0,1.7,261,0.375,2.3,160,0.831,0.5,3.8,1.9,2.1,1.4,37.0,59.0,1889.0,17.7,0.555,0.391,0.24,1.6,13.4,7.4,38.7,2.4,1.0,13.4,19.2,3.7,2.5,6.2,0.156,2.0,1.2,3.2,2.5,72,175,17,6,Pho,G,37.9,32.0,14.6,407,0.482,0.513,13.9,4.3,8.9,1.5,0.4,1.9,18.1,22.8,27.0,10.1,121.9,109.6
3,Torrey Craig,SF,PHX,28.7,15.5,79,30.4,67,18.0,10.0,1.7,0.6,0.8,0.5,7.8,13.2,58.9,0.1,254,0.394,2.3,45,0.711,2.6,7.4,1.8,2.8,-0.1,32.0,79.0,1948.0,11.6,0.566,0.506,0.09,8.1,16.3,12.1,7.9,1.3,2.9,12.3,13.0,1.5,2.5,4.0,0.098,-1.3,0.7,-0.6,0.7,79,221,5,12,Pho,F,32.3,24.7,12.7,246,0.52,0.556,7.4,5.4,1.5,0.6,0.8,0.9,12.8,8.9,14.3,6.3,116.3,107.3
4,Terrence Ross,SG,PHX,14.4,7.3,21,24.7,60,7.4,5.4,1.5,0.6,0.7,0.3,2.9,6.3,45.6,1.3,98,0.347,0.4,14,0.857,1.8,3.5,0.9,2.3,-2.2,31.0,21.0,386.0,14.2,0.546,0.59,0.084,3.4,16.7,9.9,15.4,1.3,0.5,3.4,19.7,0.6,0.4,1.0,0.127,0.3,0.2,0.5,0.2,78,206,10,8,Pho,G-F,32.2,18.4,3.5,68,0.544,0.53,9.0,3.3,2.0,0.5,0.1,0.3,12.2,10.9,14.2,8.5,120.3,104.8
5,Jock Landale,C,PHX,13.8,5.9,69,20.2,15,10.3,2.2,4.5,0.7,0.2,0.4,3.9,9.4,41.5,1.4,84,0.25,1.0,105,0.752,0.3,2.0,1.7,1.8,1.5,27.0,69.0,979.0,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.8,-0.4,-1.1,0.2,83,256,1,14,Pho,C,27.5,14.2,14.9,253,0.621,0.559,6.6,4.1,1.0,0.2,0.4,0.9,10.7,7.6,11.7,8.5,119.7,103.1
6,Landry Shamet,SG,PHX,11.0,6.5,40,18.8,26,7.3,3.5,1.4,0.8,0.5,0.3,2.3,5.8,39.1,0.9,200,0.375,1.9,51,0.882,1.5,2.0,0.9,1.6,1.4,25.0,40.0,807.0,10.9,0.535,0.663,0.17,1.5,7.9,4.6,15.7,1.6,0.6,10.0,19.0,0.5,0.7,1.2,0.071,-1.1,-0.3,-1.4,0.1,76,190,4,9,Pho,G,26.1,20.2,10.7,101,0.376,0.5,8.7,1.7,2.3,0.7,0.1,0.9,10.3,11.0,12.7,6.4,110.8,111.1
7,Josh Okogie,SG,PHX,10.2,5.3,72,14.3,14,4.3,4.2,0.9,0.3,1.4,0.2,2.0,3.4,57.8,0.0,197,0.335,0.4,192,0.724,1.5,2.8,0.8,1.9,0.7,24.0,72.0,1350.0,13.3,0.531,0.476,0.464,8.8,11.9,10.3,10.3,2.0,2.3,11.2,17.7,1.1,1.7,2.8,0.101,-0.8,0.5,-0.2,0.6,76,213,4,13,Pho,G,24.6,18.8,13.2,217,0.442,0.471,7.3,3.5,1.5,0.8,0.5,0.9,10.8,8.8,12.3,7.2,113.8,108.4
8,Cameron Payne,PG,PHX,10.2,4.2,48,20.2,9,8.7,1.7,2.3,0.7,0.1,0.4,2.8,7.5,37.5,1.9,185,0.368,1.1,64,0.766,0.3,1.4,0.9,1.5,1.0,28.0,48.0,968.0,13.2,0.512,0.408,0.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,0.053,-0.5,-0.7,-1.2,0.2,73,183,7,7,Pho,G,28.7,20.2,15.2,268,0.448,0.49,10.3,2.2,4.5,0.7,0.2,1.7,12.5,14.7,16.9,9.3,106.0,108.4
9,Bismack Biyombo,C,PHX,10.1,4.8,61,14.2,4,6.6,4.1,1.0,0.2,0.4,0.3,2.6,4.9,52.8,0.3,0,0.0,1.1,70,0.357,1.7,2.3,0.9,1.8,2.0,30.0,61.0,874.0,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,80,255,11,17,Pho,C,30.6,14.3,19.8,206,0.578,0.578,4.3,4.2,0.9,0.3,1.4,0.8,8.6,5.2,9.5,7.1,109.3,101.6
